MATERIAL;RUN_STATUS;TESTRUN;TIMESTAMP
JDWAUC13737;SUCCESS;false;09.04.2020 20:44:17
JDW5FDST1512301;SUCCESS;false;09.04.2020 20:44:19
JDWM804011;SUCCESS;false;09.04.2020 20:44:21
JDWHXE64639;SUCCESS;false;09.04.2020 20:44:21
JDWR63576;SUCCESS;false;09.04.2020 20:44:22
JDWAUC13857;SUCCESS;false;09.04.2020 20:44:22
JDWOMUC17177;SUCCESS;false;09.04.2020 20:44:22
JDWM804016;SUCCESS;false;09.04.2020 20:44:23
JDW5FDST1512801;SUCCESS;false;09.04.2020 20:44:23
JDWAUC13869;SUCCESS;false;09.04.2020 20:44:24
JDWSU57527;SUCCESS;false;09.04.2020 20:44:24
JDWHXE64728;SUCCESS;false;09.04.2020 20:44:24
JDWR63597;SUCCESS;false;09.04.2020 20:44:25
JDWM804019;SUCCESS;false;09.04.2020 20:44:25
JDWOMUC17182;SUCCESS;false;09.04.2020 20:44:25
JDW5FDST1512901;SUCCESS;false;09.04.2020 20:44:25
JDWOML57711;SUCCESS;false;09.04.2020 20:44:26
JDWSU57566;SUCCESS;false;09.04.2020 20:44:26
JDWAUC14032;SUCCESS;false;09.04.2020 20:44:27
JDW5FDST1514101;SUCCESS;false;09.04.2020 20:44:27
JDWOMUC17183;SUCCESS;false;09.04.2020 20:44:29
JDWM804025;SUCCESS;false;09.04.2020 20:44:29
JDWSU57580;SUCCESS;false;09.04.2020 20:44:34
JDW5FDST1514111;SUCCESS;false;09.04.2020 20:44:34
JDWOML57713;SUCCESS;false;09.04.2020 20:44:34
JDWAUC14368;SUCCESS;false;09.04.2020 20:44:34
JDWM804045;SUCCESS;false;09.04.2020 20:44:34
JDWR63607;SUCCESS;false;09.04.2020 20:44:35
JDWHXE64803;SUCCESS;false;09.04.2020 20:44:36
JDWSU57608;SUCCESS;false;09.04.2020 20:44:39
JDWM804052;SUCCESS;false;09.04.2020 20:44:40
JDW5FDST1514121;SUCCESS;false;09.04.2020 20:44:42
JDWAUC14376;SUCCESS;false;09.04.2020 20:44:42
JDWHXE64968;SUCCESS;false;09.04.2020 20:44:43
JDWOML57752;SUCCESS;false;09.04.2020 20:44:44
JDWM804057;SUCCESS;false;09.04.2020 20:44:44
JDWR63657;SUCCESS;false;09.04.2020 20:44:46
JDWOMUC17184;SUCCESS;false;09.04.2020 20:44:47
JDWSU57663;SUCCESS;false;09.04.2020 20:44:47
JDW5FDST1514131;SUCCESS;false;09.04.2020 20:44:48
JDWAUC14411;SUCCESS;false;09.04.2020 20:44:48
